                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "12778"          1.2300000000000001E+001          4.2999999999999998E+000          1.5000000000000000E+001                       "gfortran"                          "9.2.0"            "x86_64-linux-20.3.2"                       "20201015" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              50          2.8435310874861822E+004          1.5000089452964069E+001          6.5275711003776621E+001          5.7053502408212815E+001          1.6319889666017446E+002          3.0799824112331287E+001          1.9100943724501452E+001         -8.5539697152026017E-001         -1.0000000000000000E+000          1.2299950502911333E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.7693239827018967E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.7693239827018967E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3417993206145445E+053         -7.1983883885998104E+035          0.0000000000000000E+000          0.0000000000000000E+000         -7.1983883885998104E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              55          3.9494874241724850E+004          1.5000120652207228E+001          6.5275778888426558E+001          5.7053502408217348E+001          1.6319866760494597E+002          3.0799848014683516E+001          1.9100970613035809E+001         -8.5696815025011308E-001         -1.0000000000000000E+000          1.2299933239509494E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.8221460016514044E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.8221460016514044E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3417970149415108E+053         -6.3740308284072323E+035          0.0000000000000000E+000          0.0000000000000000E+000         -6.3740308284072323E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          6.7014606958757446E+004          1.5000193589251161E+001          6.5275937587687892E+001          5.7053502408242430E+001          1.6319813212639238E+002          3.0799903893034060E+001          1.9101033472515731E+001         -8.5691709456265541E-001         -1.0000000000000000E+000          1.2299892881635012E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.8354016512163547E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.8354016512163547E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3417916247864007E+053         -6.1824501290076798E+035          0.0000000000000000E+000          0.0000000000000000E+000         -6.1824501290076798E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              65          1.3549250827320400E+005          1.5000374331534150E+001          6.5276330852072348E+001          5.7053502408396668E+001          1.6319680519561538E+002          3.0800042361966597E+001          1.9101189241613255E+001         -8.5643230148687810E-001         -1.0000000000000000E+000          1.2299792873677617E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.8355705504585966E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.8355705504585966E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3417782677060055E+053         -6.1801206769310121E+035          0.0000000000000000E+000          0.0000000000000000E+000         -6.1801206769310121E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          3.0588743967196759E+005          1.5000824062029389E+001          6.5277309378325270E+001          5.7053502409351758E+001          1.6319350357345471E+002          3.0800386900546577E+001          1.9101576830377915E+001         -8.5532212775998406E-001         -1.0000000000000000E+000          1.2299544037297048E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.8354295515527781E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.8354295515527781E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3417450323132742E+053         -6.1823128012452686E+035          0.0000000000000000E+000          0.0000000000000000E+000         -6.1823128012452686E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              75          7.2988455537013896E+005          1.5001947671285887E+001          6.5279754067794002E+001          5.7053502415319549E+001          1.6318525541999341E+002          3.0801247662797600E+001          1.9102545169366422E+001         -8.5291433054723365E-001         -1.0000000000000000E+000          1.2298922390390493E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.8324082467516352E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.8324082467516352E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3416619983871812E+053         -6.2259382453922376E+035          0.0000000000000000E+000          0.0000000000000000E+000         -6.2259382453922376E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          1.6969627668042716E+006          1.5004570014494805E+001          6.5285459256942389E+001          5.7053502446861387E+001          1.6316600896307747E+002          3.0803256365789792E+001          1.9104805050567979E+001         -8.4820054485049212E-001         -1.0000000000000000E+000          1.2297471819450587E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.8171114821750773E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.8171114821750773E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3414682181979292E+053         -6.4502638785304417E+035          0.0000000000000000E+000          0.0000000000000000E+000         -6.4502638785304417E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              85          3.0612838623797288E+006          1.5008499777347744E+001          6.5294007932280437E+001          5.7053502515650671E+001          1.6313717619584864E+002          3.0806266052458284E+001          1.9108191420147953E+001         -8.4190075198942838E-001         -1.0000000000000000E+000          1.2295298740856786E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.7839506091418169E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.7839506091418169E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3411778532193197E+053         -6.9638929225296471E+035          0.0000000000000000E+000          0.0000000000000000E+000         -6.9638929225296471E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          4.4872062076050080E+006          1.5012997092242861E+001          6.5303789862032048E+001          5.7053502605223784E+001          1.6310419314575299E+002          3.0809709693383049E+001          1.9112066540501942E+001         -8.3494105252485629E-001         -1.0000000000000000E+000          1.2292812859880799E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.7412146460271565E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.7412146460271565E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3408455973721089E+053         -7.6863147855636040E+035          0.0000000000000000E+000          0.0000000000000000E+000         -7.6863147855636040E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              95          5.8162781888579782E+006          1.5017630883678130E+001          6.5313867102450729E+001          5.7053502700280632E+001          1.6307022467487829E+002          3.0813257040469253E+001          1.9116058896435284E+001         -8.2772590520562284E-001         -1.0000000000000000E+000          1.2290252708682994E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.6980310910909981E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.6980310910909981E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3405033103914658E+053         -8.4925037667478369E+035          0.0000000000000000E+000          0.0000000000000000E+000         -8.4925037667478369E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
